id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Almeria;Almeria;['IN_Almeria'];['N_237'];36.83;-2.46;DZ;;{'end_year': None, 'license': None, 'source': 'MEDGAZ', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Balgzand;Balgzand;['IN_Balgzand'];['N_243'];52.8982381;4.845275;NL;;{'end_year': None, 'license': None, 'source': 'BBL', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Beregdaroc;Beregdaroc;['IN_Beregdaroc'];['N_25'];48.1985108;22.5320069;HU;;{'end_year': None, 'license': None, 'source': '?', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Budince;Budince;['IN_Budince'];['N_248'];48.5448153;22.1227244;SK;;{'end_year': None, 'license': None, 'source': 'EuStream', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Cordoba;Cordoba;['IN_Cordoba'];['N_50'];37.886;-4.7803;ES;;{'end_year': None, 'license': None, 'source': 'MEG', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Dornum;Dornum;['IN_Dornum'];['N_256'];53.66;7.404;DE;;{'end_year': None, 'license': None, 'source': 'Europipe I, Europipe II', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Drozdwicze;Drozdwicze;['IN_Drozdwicze'];['N_258'];49.8087968;23.6441847;PL;;{'end_year': None, 'license': None, 'source': 'Europol', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Dunkerque;Dunkerque;['IN_Dunkerque'];['N_259'];51.033134;2.194792;FR;;{'end_year': None, 'license': None, 'source': 'Interconnector,Franpipe', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Emden;Emden;['IN_Emden'];['N_260'];53.3594029;7.2060095;DE;;{'end_year': None, 'license': None, 'source': 'Norpipe', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Gela;Gela;['IN_Gela'];['N_264'];37.052698;14.269219;IT;;{'end_year': None, 'license': None, 'source': 'Greenstream', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Greifswald;Greifswald;['IN_Greifswald'];['N_518'];54.716599;13.3923414;DE;;{'end_year': None, 'license': None, 'source': 'Nordstream', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Imatra;Imatra;['IN_Imatra'];['N_90'];61.1695977;28.7645463;FI;;{'end_year': None, 'license': None, 'source': 'Gryazovets-Vyborg', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Isaccea;Isaccea;['IN_Isaccea'];['N_269'];45.265423;28.4607273;RO;;{'end_year': None, 'license': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'source': None, 'start_year': None};{}
Kipoi;Kipoi;['IN_Kipoi'];['N_102'];40.970417;26.307161;GR;Border Crossing Point;{'end_year': None, 'license': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'source': None, 'start_year': None};{}
Komotini;Komotini;['IN_Komotini'];['N_519'];41.1224394;25.4065582;GR;;{'end_year': None, 'license': None, 'source': 'interconnetor Tur-It-GR', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Kondratki;Kondratki;['IN_Kondratki'];['N_107'];53.01781;23.896413;PL;;{'end_year': None, 'license': None, 'source': 'EUROPOL', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Korneti;Korneti;['IN_Korneti'];['N_275'];57.5928519;26.9434759;LV;;{'end_year': None, 'license': None, 'source': 'Baltic Pipeline System', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Kotlovka;Kotlovka;['IN_Kotlovka'];['N_276'];54.716599;25.7475233;LT;;{'end_year': None, 'license': None, 'source': 'Baltic Pipeline System', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
MazaraDelVallo;MazaraDelVallo;['IN_MazaraDelVallo'];['N_284'];37.64;12.59;DZ;;{'end_year': None, 'license': None, 'source': 'TRANSMED', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
MediesuAurit;MediesuAurit;['IN_MediesuAurit'];['N_286'];47.786743;23.1376644;RO;;{'end_year': None, 'license': None, 'source': '?', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Narva;Narva;['IN_Narva'];['N_288'];59.3796931;28.1790751;EE;;{'end_year': None, 'license': None, 'source': 'Baltic Pipeline System', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Nybro;Nybro;['IN_Nybro'];['N_291'];56.247698;8.878005;DK;;{'end_year': None, 'license': None, 'source': 'Tyra east, South Arne', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
Sakiai;Sakiai;['IN_Sakiai'];['N_304'];54.952671;23.0480199;LT;;{'end_year': None, 'license': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'source': None, 'start_year': None};{}
StFergusE1;StFergusE1;['IN_StFergusE1'];['N_520'];57.580687;-1.830286;GB;;{'end_year': None, 'license': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'source': None, 'start_year': None};{}
StFergusE2;StFergusE2;['IN_StFergusE2'];['N_521'];57.575091;-1.82705;GB;;{'end_year': None, 'license': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'source': None, 'start_year': None};{}
Vaerska;Vaerska;['IN_Vaerska'];['N_316'];57.9570536;27.6375433;EE;;{'end_year': None, 'license': None, 'source': 'Baltic Pipeline System', 'start_year': None};{'end_year': -999, 'license': -999, 'source': 0, 'start_year': -999};{'end_year': None, 'license': None, 'source': 'raw', 'start_year': None};{}
